deviceIORate,cpu,memory,conns,arrivalRate,ioLoad,cpuLoad,responseTime
50mb,1,700m,100,13,200,450,767446.1
50mb,1,700m,100,13,200,500,939133.2
50mb,1,700m,100,14,0,350,15.2
50mb,1,700m,100,14,0,400,14.6
50mb,1,700m,100,14,0,450,14.7
50mb,1,700m,100,14,0,500,14.7
50mb,1,700m,100,14,20,350,4240.1
50mb,1,700m,100,14,20,400,3693.7
50mb,1,700m,100,14,20,450,4559.9
50mb,1,700m,100,14,20,500,4982.7
50mb,1,700m,100,14,40,350,112220.5
50mb,1,700m,100,14,40,400,57853.0
50mb,1,700m,100,14,40,450,141817.6
50mb,1,700m,100,14,40,500,76406.5
50mb,1,700m,100,14,60,350,200690.3
50mb,1,700m,100,14,60,400,259702.9
50mb,1,700m,100,14,60,450,273264.7
50mb,1,700m,100,14,60,500,281249.7
50mb,1,700m,100,14,80,350,423037.7
50mb,1,700m,100,14,80,400,438350.8
50mb,1,700m,100,14,80,450,429850.5
50mb,1,700m,100,14,80,500,257051.1
50mb,1,700m,100,14,100,350,370790.4
50mb,1,700m,100,14,100,400,537909.1
50mb,1,700m,100,14,100,450,589847.3
50mb,1,700m,100,14,100,500,500053.8
50mb,1,700m,100,14,120,350,610926.7
50mb,1,700m,100,14,120,400,760152.1
50mb,1,700m,100,14,120,450,678884.7
50mb,1,700m,100,14,120,500,619828.6
50mb,1,700m,100,14,140,350,652572.7
50mb,1,700m,100,14,140,400,775270.4
50mb,1,700m,100,14,140,450,650570.5
50mb,1,700m,100,14,140,500,826959.6
50mb,1,700m,100,14,160,350,763694.8
50mb,1,700m,100,14,160,400,978693.5
50mb,1,700m,100,14,160,450,1086322.9
50mb,1,700m,100,14,160,500,811474.3
50mb,1,700m,100,14,180,350,810821.7
50mb,1,700m,100,14,180,400,617204.2
50mb,1,700m,100,14,180,450,583693.6
50mb,1,700m,100,14,180,500,561331.9
50mb,1,700m,100,14,200,350,622228.9
50mb,1,700m,100,14,200,400,1107424.6
50mb,1,700m,100,14,200,450,975433.1
50mb,1,700m,100,14,200,500,993582.8
50mb,1,700m,100,15,0,350,15.1
50mb,1,700m,100,15,0,400,14.9
50mb,1,700m,100,15,0,450,14.5
50mb,1,700m,100,15,0,500,15.1
50mb,1,700m,100,15,20,350,8569.8
50mb,1,700m,100,15,20,400,5533.4
50mb,1,700m,100,15,20,450,4611.6
50mb,1,700m,100,15,20,500,6996.1
50mb,1,700m,100,15,40,350,114287.2
50mb,1,700m,100,15,40,400,82644.9
50mb,1,700m,100,15,40,450,127934.8
50mb,1,700m,100,15,40,500,62318.4
50mb,1,700m,100,15,60,350,209728.1
50mb,1,700m,100,15,60,400,167921.1
50mb,1,700m,100,15,60,450,298108.0
50mb,1,700m,100,15,60,500,234660.7
50mb,1,700m,100,15,80,350,375387.9
50mb,1,700m,100,15,80,400,323771.8
50mb,1,700m,100,15,80,450,428031.1
50mb,1,700m,100,15,80,500,402666.9
50mb,1,700m,100,15,100,350,502250.0
50mb,1,700m,100,15,100,400,377696.3
50mb,1,700m,100,15,100,450,533667.9
50mb,1,700m,100,15,100,500,476308.4
50mb,1,700m,100,15,120,350,511028.5
50mb,1,700m,100,15,120,400,465522.1
50mb,1,700m,100,15,120,450,656657.8
50mb,1,700m,100,15,120,500,674982.7
50mb,1,700m,100,15,140,350,856764.2
50mb,1,700m,100,15,140,400,666132.7
50mb,1,700m,100,15,140,450,522707.2
50mb,1,700m,100,15,140,500,558874.5
50mb,1,700m,100,15,160,350,675794.8
50mb,1,700m,100,15,160,400,822891.7
50mb,1,700m,100,15,160,450,698786.9
50mb,1,700m,100,15,160,500,904374.6
50mb,1,700m,100,15,180,350,1119955.9
50mb,1,700m,100,15,180,400,989780.9
50mb,1,700m,100,15,180,450,1045986.7
50mb,1,700m,100,15,180,500,916487.6
50mb,1,700m,100,15,200,350,1085060.9
50mb,1,700m,100,15,200,400,1348219.7
50mb,1,700m,100,15,200,450,994906.9
50mb,1,700m,100,15,200,500,1321044.1
50mb,1,700m,100,16,0,350,14.5
50mb,1,700m,100,16,0,400,15.3
50mb,1,700m,100,16,0,450,14.6
50mb,1,700m,100,16,0,500,14.5
50mb,1,700m,100,16,20,350,5098.2
50mb,1,700m,100,16,20,400,4092.3
50mb,1,700m,100,16,20,450,4567.5
50mb,1,700m,100,16,20,500,8818.0
50mb,1,700m,100,16,40,350,102258.2
50mb,1,700m,100,16,40,400,80897.3
50mb,1,700m,100,16,40,450,59901.4
50mb,1,700m,100,16,40,500,151881.5
50mb,1,700m,100,16,60,350,249232.2
50mb,1,700m,100,16,60,400,161250.9
50mb,1,700m,100,16,60,450,239717.0
50mb,1,700m,100,16,60,500,237292.3
50mb,1,700m,100,16,80,350,383377.7
50mb,1,700m,100,16,80,400,367567.6
50mb,1,700m,100,16,80,450,429892.6
50mb,1,700m,100,16,80,500,355183.1
50mb,1,700m,100,16,100,350,426160.5
50mb,1,700m,100,16,100,400,407370.0
50mb,1,700m,100,16,100,450,422644.8
50mb,1,700m,100,16,100,500,488177.5
50mb,1,700m,100,16,120,350,656851.0
50mb,1,700m,100,16,120,400,665312.9
50mb,1,700m,100,16,120,450,660671.4
50mb,1,700m,100,16,120,500,647509.5
50mb,1,700m,100,16,140,350,877937.4
50mb,1,700m,100,16,140,400,850113.9
50mb,1,700m,100,16,140,450,602407.2
50mb,1,700m,100,16,140,500,831337.9
50mb,1,700m,100,16,160,350,665206.9
50mb,1,700m,100,16,160,400,896550.2
50mb,1,700m,100,16,160,450,953019.3
50mb,1,700m,100,16,160,500,788111.8
