deviceIORate,cpu,memory,conns,arrivalRate,ioLoad,cpuLoad,responseTime
50mb,4,700m,25,8,200,450,33311.0
50mb,4,700m,25,8,200,500,35943.2
50mb,4,700m,25,9,0,350,15.3
50mb,4,700m,25,9,0,400,15.0
50mb,4,700m,25,9,0,450,15.1
50mb,4,700m,25,9,0,500,15.0
50mb,4,700m,25,9,20,350,23.8
50mb,4,700m,25,9,20,400,23.5
50mb,4,700m,25,9,20,450,23.5
50mb,4,700m,25,9,20,500,24.1
50mb,4,700m,25,9,40,350,572.7
50mb,4,700m,25,9,40,400,1358.0
50mb,4,700m,25,9,40,450,686.5
50mb,4,700m,25,9,40,500,750.0
50mb,4,700m,25,9,60,350,2635.8
50mb,4,700m,25,9,60,400,2440.2
50mb,4,700m,25,9,60,450,2825.3
50mb,4,700m,25,9,60,500,2271.7
50mb,4,700m,25,9,80,350,6775.9
50mb,4,700m,25,9,80,400,6197.1
50mb,4,700m,25,9,80,450,4969.8
50mb,4,700m,25,9,80,500,6885.2
50mb,4,700m,25,9,100,350,9745.9
50mb,4,700m,25,9,100,400,10456.2
50mb,4,700m,25,9,100,450,7627.6
50mb,4,700m,25,9,100,500,10822.6
50mb,4,700m,25,9,120,350,16164.2
50mb,4,700m,25,9,120,400,13961.7
50mb,4,700m,25,9,120,450,14179.8
50mb,4,700m,25,9,120,500,14207.3
50mb,4,700m,25,9,140,350,18952.2
50mb,4,700m,25,9,140,400,19521.0
50mb,4,700m,25,9,140,450,22235.7
50mb,4,700m,25,9,140,500,19048.8
50mb,4,700m,25,9,160,350,22375.4
50mb,4,700m,25,9,160,400,23812.6
50mb,4,700m,25,9,160,450,20244.2
50mb,4,700m,25,9,160,500,23127.4
50mb,4,700m,25,9,180,350,26613.5
50mb,4,700m,25,9,180,400,24287.0
50mb,4,700m,25,9,180,450,27249.3
50mb,4,700m,25,9,180,500,26849.3
50mb,4,700m,25,9,200,350,31852.1
50mb,4,700m,25,9,200,400,31477.7
50mb,4,700m,25,9,200,450,32543.2
50mb,4,700m,25,9,200,500,33706.2
50mb,4,700m,25,10,0,350,14.7
50mb,4,700m,25,10,0,400,14.1
50mb,4,700m,25,10,0,450,15.0
50mb,4,700m,25,10,0,500,15.9
50mb,4,700m,25,10,20,350,24.1
50mb,4,700m,25,10,20,400,23.7
50mb,4,700m,25,10,20,450,24.2
50mb,4,700m,25,10,20,500,24.0
50mb,4,700m,25,10,40,350,589.7
50mb,4,700m,25,10,40,400,534.0
50mb,4,700m,25,10,40,450,742.8
50mb,4,700m,25,10,40,500,617.8
50mb,4,700m,25,10,60,350,3474.5
50mb,4,700m,25,10,60,400,2456.9
50mb,4,700m,25,10,60,450,2910.0
50mb,4,700m,25,10,60,500,3023.6
50mb,4,700m,25,10,80,350,7857.3
50mb,4,700m,25,10,80,400,6776.3
50mb,4,700m,25,10,80,450,8070.3
50mb,4,700m,25,10,80,500,7891.6
50mb,4,700m,25,10,100,350,12688.7
50mb,4,700m,25,10,100,400,10813.3
50mb,4,700m,25,10,100,450,10697.5
50mb,4,700m,25,10,100,500,12360.9
50mb,4,700m,25,10,120,350,16924.4
50mb,4,700m,25,10,120,400,17906.0
50mb,4,700m,25,10,120,450,15993.9
50mb,4,700m,25,10,120,500,17654.6
50mb,4,700m,25,10,140,350,20283.8
50mb,4,700m,25,10,140,400,21378.2
50mb,4,700m,25,10,140,450,20589.0
50mb,4,700m,25,10,140,500,19869.8
50mb,4,700m,25,10,160,350,24733.1
50mb,4,700m,25,10,160,400,26960.0
50mb,4,700m,25,10,160,450,22527.0
50mb,4,700m,25,10,160,500,22640.6
50mb,4,700m,25,10,180,350,23030.7
50mb,4,700m,25,10,180,400,28152.3
50mb,4,700m,25,10,180,450,27607.6
50mb,4,700m,25,10,180,500,25549.0
50mb,4,700m,25,10,200,350,28623.0
50mb,4,700m,25,10,200,400,29707.0
50mb,4,700m,25,10,200,450,29185.5
50mb,4,700m,25,10,200,500,29135.8
50mb,4,700m,25,11,0,350,14.9
50mb,4,700m,25,11,0,400,14.9
50mb,4,700m,25,11,0,450,14.5
50mb,4,700m,25,11,0,500,14.6
50mb,4,700m,25,11,20,350,23.8
50mb,4,700m,25,11,20,400,23.6
50mb,4,700m,25,11,20,450,23.7
50mb,4,700m,25,11,20,500,23.6
50mb,4,700m,25,11,40,350,574.7
50mb,4,700m,25,11,40,400,567.1
50mb,4,700m,25,11,40,450,541.2
50mb,4,700m,25,11,40,500,536.8
50mb,4,700m,25,11,60,350,2852.5
50mb,4,700m,25,11,60,400,2504.6
50mb,4,700m,25,11,60,450,2910.0
