deviceIORate,cpu,memory,conns,arrivalRate,ioLoad,cpuLoad,responseTime
50mb,1,700m,50,8,0,500,14.5
50mb,1,700m,50,8,20,350,390.3
50mb,1,700m,50,8,20,400,316.0
50mb,1,700m,50,8,20,450,376.9
50mb,1,700m,50,8,20,500,364.8
50mb,1,700m,50,8,40,350,4537.0
50mb,1,700m,50,8,40,400,3750.6
50mb,1,700m,50,8,40,450,5516.9
50mb,1,700m,50,8,40,500,3271.8
50mb,1,700m,50,8,60,350,13651.6
50mb,1,700m,50,8,60,400,11777.0
50mb,1,700m,50,8,60,450,10880.0
50mb,1,700m,50,8,60,500,10838.1
50mb,1,700m,50,8,80,350,23106.4
50mb,1,700m,50,8,80,400,19221.5
50mb,1,700m,50,8,80,450,18140.8
50mb,1,700m,50,8,80,500,21211.4
50mb,1,700m,50,8,100,350,30464.4
50mb,1,700m,50,8,100,400,29382.5
50mb,1,700m,50,8,100,450,31658.1
50mb,1,700m,50,8,100,500,31268.0
50mb,1,700m,50,8,120,350,38960.6
50mb,1,700m,50,8,120,400,40414.5
50mb,1,700m,50,8,120,450,40192.5
50mb,1,700m,50,8,120,500,41098.5
50mb,1,700m,50,8,140,350,44300.3
50mb,1,700m,50,8,140,400,48281.5
50mb,1,700m,50,8,140,450,49991.0
50mb,1,700m,50,8,140,500,47486.8
50mb,1,700m,50,8,160,350,57504.1
50mb,1,700m,50,8,160,400,61717.0
50mb,1,700m,50,8,160,450,56498.0
50mb,1,700m,50,8,160,500,55602.1
50mb,1,700m,50,8,180,350,64237.2
50mb,1,700m,50,8,180,400,66736.6
50mb,1,700m,50,8,180,450,65296.6
50mb,1,700m,50,8,180,500,69024.2
50mb,1,700m,50,8,200,350,73708.2
50mb,1,700m,50,8,200,400,74794.5
50mb,1,700m,50,8,200,450,74202.5
50mb,1,700m,50,8,200,500,75664.8
50mb,1,700m,50,9,0,350,14.2
50mb,1,700m,50,9,0,400,14.2
50mb,1,700m,50,9,0,450,14.1
50mb,1,700m,50,9,0,500,14.2
50mb,1,700m,50,9,20,350,251.1
50mb,1,700m,50,9,20,400,272.0
50mb,1,700m,50,9,20,450,387.8
50mb,1,700m,50,9,20,500,396.1
50mb,1,700m,50,9,40,350,3508.5
50mb,1,700m,50,9,40,400,3692.9
50mb,1,700m,50,9,40,450,5202.2
50mb,1,700m,50,9,40,500,6021.7
50mb,1,700m,50,9,60,350,15396.1
50mb,1,700m,50,9,60,400,10266.3
50mb,1,700m,50,9,60,450,13184.1
50mb,1,700m,50,9,60,500,11609.7
50mb,1,700m,50,9,80,350,21123.8
50mb,1,700m,50,9,80,400,23242.3
50mb,1,700m,50,9,80,450,22621.7
50mb,1,700m,50,9,80,500,19343.7
50mb,1,700m,50,9,100,350,30828.2
50mb,1,700m,50,9,100,400,26398.2
50mb,1,700m,50,9,100,450,32469.1
50mb,1,700m,50,9,100,500,30547.8
50mb,1,700m,50,9,120,350,42843.2
50mb,1,700m,50,9,120,400,42312.8
50mb,1,700m,50,9,120,450,40922.7
50mb,1,700m,50,9,120,500,40447.0
50mb,1,700m,50,9,140,350,51611.1
50mb,1,700m,50,9,140,400,47335.7
50mb,1,700m,50,9,140,450,46355.0
50mb,1,700m,50,9,140,500,51853.7
50mb,1,700m,50,9,160,350,59541.0
50mb,1,700m,50,9,160,400,59963.5
50mb,1,700m,50,9,160,450,56847.8
50mb,1,700m,50,9,160,500,54821.8
50mb,1,700m,50,9,180,350,66736.6
50mb,1,700m,50,9,180,400,67003.3
50mb,1,700m,50,9,180,450,60940.7
50mb,1,700m,50,9,180,500,66672.0
50mb,1,700m,50,9,200,350,78721.7
50mb,1,700m,50,9,200,400,84354.1
50mb,1,700m,50,9,200,450,80096.2
50mb,1,700m,50,9,200,500,80951.8
50mb,1,700m,50,10,0,350,14.4
50mb,1,700m,50,10,0,400,14.6
50mb,1,700m,50,10,0,450,14.0
50mb,1,700m,50,10,0,500,15.1
50mb,1,700m,50,10,20,350,337.0
50mb,1,700m,50,10,20,400,442.1
50mb,1,700m,50,10,20,450,338.5
50mb,1,700m,50,10,20,500,342.7
50mb,1,700m,50,10,40,350,3687.4
50mb,1,700m,50,10,40,400,3959.5
50mb,1,700m,50,10,40,450,5564.5
50mb,1,700m,50,10,40,500,3900.4
50mb,1,700m,50,10,60,350,10268.5
50mb,1,700m,50,10,60,400,11899.5
50mb,1,700m,50,10,60,450,10440.6
50mb,1,700m,50,10,60,500,13949.6
50mb,1,700m,50,10,80,350,21504.1
50mb,1,700m,50,10,80,400,20319.1
50mb,1,700m,50,10,80,450,23926.3
50mb,1,700m,50,10,80,500,20437.8
50mb,1,700m,50,10,100,350,30660.8
50mb,1,700m,50,10,100,400,33019.4
50mb,1,700m,50,10,100,450,28458.0
50mb,1,700m,50,10,100,500,30219.0
50mb,1,700m,50,10,120,350,39997.3
50mb,1,700m,50,10,120,400,39928.0
50mb,1,700m,50,10,120,450,40921.7
50mb,1,700m,50,10,120,500,39204.7
50mb,1,700m,50,10,140,350,49706.5
50mb,1,700m,50,10,140,400,47478.2
50mb,1,700m,50,10,140,450,52713.5
50mb,1,700m,50,10,140,500,51624.4
50mb,1,700m,50,10,160,350,53497.5
50mb,1,700m,50,10,160,400,60583.3
50mb,1,700m,50,10,160,450,58624.9
50mb,1,700m,50,10,160,500,60264.0
50mb,1,700m,50,10,180,350,92457.3
50mb,1,700m,50,10,180,400,93855.7
50mb,1,700m,50,10,180,450,73217.0
50mb,1,700m,50,10,180,500,59071.9
50mb,1,700m,50,10,200,350,68500.1
50mb,1,700m,50,10,200,400,65447.9
50mb,1,700m,50,10,200,450,64004.4
50mb,1,700m,50,10,200,500,66101.0
50mb,1,700m,50,11,0,350,26.7
50mb,1,700m,50,11,0,400,13.9
50mb,1,700m,50,11,0,450,14.5
50mb,1,700m,50,11,0,500,14.4
50mb,1,700m,50,11,20,350,359.9
50mb,1,700m,50,11,20,400,427.3
50mb,1,700m,50,11,20,450,102.5
50mb,1,700m,50,11,20,500,103.8
50mb,1,700m,50,11,40,350,4499.0
50mb,1,700m,50,11,40,400,2739.5
50mb,1,700m,50,11,40,450,2882.2
50mb,1,700m,50,11,40,500,3224.7
50mb,1,700m,50,11,60,350,6908.7
50mb,1,700m,50,11,60,400,7855.2
50mb,1,700m,50,11,60,450,7509.9
50mb,1,700m,50,11,60,500,9271.7
50mb,1,700m,50,11,80,350,14253.1
50mb,1,700m,50,11,80,400,14295.7
50mb,1,700m,50,11,80,450,15266.7
50mb,1,700m,50,11,80,500,15396.5
50mb,1,700m,50,11,100,350,25967.6
50mb,1,700m,50,11,100,400,22016.3
50mb,1,700m,50,11,100,450,24509.6
50mb,1,700m,50,11,100,500,23546.1
50mb,1,700m,50,11,120,350,32029.4
50mb,1,700m,50,11,120,400,30682.6
50mb,1,700m,50,11,120,450,33990.3
50mb,1,700m,50,11,120,500,27175.3
50mb,1,700m,50,11,140,350,50036.1
50mb,1,700m,50,11,140,400,40604.4
50mb,1,700m,50,11,140,450,39088.8
50mb,1,700m,50,11,140,500,37016.3
50mb,1,700m,50,11,160,350,47193.9
50mb,1,700m,50,11,160,400,50971.1
50mb,1,700m,50,11,160,450,36167.2
50mb,1,700m,50,11,160,500,52912.1
50mb,1,700m,50,11,180,350,57777.6
